TIPE;KATA;SUKU KATA;DEFINISI;KELAS KATA;CONTOH BANJAR;CONTOH INDO
UTAMA;butir;;kutil;;;
UTAMA;butuh;;kemaluan laki-laki;;;
TURUNAN DARI: butuh;butuh rakungan ;;anak tekak;;;
UTAMA;butul;;(BH) Iih botol;;;
UTAMA;buu;;;;;
TURUNAN DARI: buu;mambuu;;membuta tuli, tidak mendengar nasihat orang;;;
UTAMA;buung;;(BH) lebih tinggi;;;
UTAMA;buyang;;(BH) Iih boyang;;;
UTAMA;buyu;;(jadi-jadian yang menurut kepercayaan mengisap darah manusia terutama anak-anak);;;
UTAMA;ca I;;coba, kalau;;ca aku, kadaku hakon disuruhnya;kalau saya, tidak mau disuruhnya
UTAMA;ca II;;(BH) tidak;;ca hakun aku;tidak mau saya
UTAMA;cabak;;nama burung yang biasanya terbang malam, sejenis burung pungguk;;;
UTAMA;cabang;;sejenis senjata dari batangan besi, pada hulunya bercabang dua sebagai penahan;;;
UTAMA;cabi;;cabai jawa (batangnya merambat seperti sirih);;;
UTAMA;cablung;;;;;
TURUNAN DARI: cablung;mancablung;;kecemplung;;mancablung ka sungai;kecemplung ke sungai
UTAMA;cabur;;cebur;;;
TURUNAN DARI: cabur;bacabur;;terjun (keair), mencebur (keair);;jangan mandi bacabur lah, kalu dipatuk bidawang;jangan mandi mencebur ya, kalau-kalau digigit bulus
TURUNAN DARI: cabur;mancaburi;;menerjuni;;mancaburi lunta takait;menerjuni jala (yang) terkait
TURUNAN DARI: cabur;dicaburi;;diterjuni;;;
TURUNAN DARI: cabur;tacabur;;terjatuh (keair);;jimus awak tacabur kah?;basah kuyup badan terjatuhkah?
UTAMA;cabut;;(BH) pegang;;;
TURUNAN DARI: cabut;mancakut;;menangkap, memegang;;mancakut ayam;menangkap ayam
TURUNAN DARI: cabut;bacakut;;berkelahi, bertengkar;;hingga bacakut gaawian;selalu bertengkar kerjaan
UTAMA;cagat;;tegak;;rambutnya cagat;rambutnya tegak
TURUNAN DARI: cagat;bacagat;;tegak lurus;;tajak bacagat ;tancapkan tegak lurus
TURUNAN DARI: cagat;mancagatakan;;menegakkan;;;
TURUNAN DARI: cagat;cagat mata;;mata terbuka lebar;;;
UTAMA;cah;;cih, ah (kata seru);;;
UTAMA;cahar;;;;;
TURUNAN DARI: cahar;bacahar;;mencahar, mencuci perut (dengan minum kastroli dan sebagainya);;;
TURUNAN DARI: cahar;mancahar;;mencret;;tamakan nang kada karuan habis mancahar;termakan yang tidak-tidak akibatnya mencret
TURUNAN DARI: cahar;pencahar;;(obat) pencahar;;;
UTAMA;cahaya;;cahaya, sinar;;;
UTAMA;cair;;Iih caer;;;
UTAMA;cakada;;(BH) tidak;;cakada hakun aku;tidak mau saya
UTAMA;cakah;;(BH) sombong (Iih cekah);;;
TURUNAN DARI: cakah;bacarakah;;bersombong-sombong;;;
UTAMA;cakang;;ranting, cabang (pada pohon);;;
UTAMA;cakap;;sanggup;;;
TURUNAN DARI: cakap;cakapan;;serba sanggup;;;
UTAMA;cakasi;;(BH) cepat;;cakasi pang;cepatlah
UTAMA;cakatan;;cekatan;;;
UTAMA;caki;;(BH) ceki;;;
TURUNAN DARI: caki;bacaki;;bermain ceki;;;
UTAMA;cakik;;(BH) cekik;;;
TURUNAN DARI: cakik;mancakik;;mencekik;;rasa mancakik rakungan kahausan;rasa mencekik kerongkongan kehausan
UTAMA;cakuk;;obat (dari bahan tradisional untuk anak-anak);;;
TURUNAN DARI: cakuk;mancakuk;;meminumkan, memasukkan obat (dengan paksa);;uma mancakuk ading;ibu meminumkan obat (kepada) adik
UTAMA;cakung;;(BH) cekung;;;
UTAMA;cakup;;;;;
TURUNAN DARI: cakup;bacakup;;berbunyi kup-kup (bunyi membuka menutup mulut waktu makan);;makan bacakup;makan berbunyi
UTAMA;cala;;(BH) cela;;kadada calanya;tidak ada celanya
TURUNAN DARI: cala;mancala;;mencela;;;
TURUNAN DARI: cala;pancalaan;;suka mencela;;;
UTAMA;calak;;(BH) Iih celak;;;
UTAMA;calampita;;(BH) lancar (berbicara);;bah, pina calampita banar pandir;wah, seperti lancar benar bicara
UTAMA;calap;;celup;;calapaian tangan ikam;celupkan tanganmu
TURUNAN DARI: calap;bacalap;;bergenang air, berendam;;;
TURUNAN DARI: calap;mancalap;;mencelupkan;;;
TURUNAN DARI: calap;tacalap;;tercelup;;awas, tapih tacalap;awas, sarung tercelup
UTAMA;calimut;;(BH) Iih celemot;;;
UTAMA;calingak;;;;;
TURUNAN DARI: calingak;calingak-calinguk;;(sikap orang yang melihat kesana kemari);;;
UTAMA;calotak;;(BK) suka meminta (tanpa rasa malu);;dasar calotak biar sugih;dasar suka meminta, meskipun kaya
TURUNAN DARI: calotak;bacalotak;;(dengan rasa malu meminta);;bacalotak ai aku nah maminta;dengan rasa malu nih saya meminta
UTAMA;caluk;;celuk;;;
TURUNAN DARI: caluk;mancaluk;;menceluk, memasukkan tangan (ke dalam lubang atau rongga yang sempit);;mancaluk iwak di luang;menceluk ikan diliang
UTAMA;calung;;cekung (mata);;calung mata, hanyar samalaman kawin;cekung mata, baru satu malam kawin
TURUNAN DARI: calung;mancalung;;cekung;;;
UTAMA;calutak;;Iih calotak;;;
UTAMA;camara I;;(pohon) cemara;;;
UTAMA;camara II;;cemara, rambut palsu (untuk memperbesar sanggul);;;
UTAMA;camat;;camat (kepala wilayah kecamatan);;;
TURUNAN DARI: camat;bacamat;;(menarik perahu dengan tali dari darat, talinya dipasang pada galah yang didirikan pada haluan perahu);;;
UTAMA;camati;;(BH) cemeti;;;
TURUNAN DARI: camati;camatiali;;(cemeti yang berazimat);;;
UTAMA;cambuk;;cambuk;;;
UTAMA;campa I;;pendek, rendah, cebol;;biar campa tapi sugih;meskipun pendek, tapi kaya
UTAMA;campa II;;(sekerat bambu yang dipakai untuk melontarkan logo) Iih logo;;;
UTAMA;campah;;panu, kadas, eksem;;;
TURUNAN DARI: campah;campah kudung;;(penyakit) lepra;;;
UTAMA;campahiring;;(nama sejenis perdu berduri, dirawa pasang surut);;;
UTAMA;campaka;;cempaka;;;
UTAMA;campur;;campur;;;
TURUNAN DARI: campur;bacampur;;bercampur;;;
TURUNAN DARI: campur;bacampur;;bersetubuh;;;
TURUNAN DARI: campur;mancampur;;mencampur;;;
TURUNAN DARI: campur;mancampuri;;mencampuri, melibatkan diri;;;
UTAMA;camuh;;kacau, campur baur, tak teratur;;camuh urusan wayah ni ;kacau urusan sekarang ini
TURUNAN DARI: camuh;bacamuh;;(dalam keadaan serba tak teratur);;;
UTAMA;canang;;canang, gong kecil;;;
UTAMA;cancanguk;;sejenis burung;;;
UTAMA;carik;;robek, sobek;;;
UTAMA;carita;;kisah, cerita;;;
UTAMA;cariwit;;(BH) Iih carewet;;;
UTAMA;carmi;;(BH) Iih cermi;;;
UTAMA;catut;;catut;;;
UTAMA;cawah;;robek;;;
UTAMA;cawali;;(BH) kecuali;;;
UTAMA;cigit;;Iih cugut;;;
UTAMA;cigu;;ceguk;;;
UTAMA;curia;;;;;
TURUNAN DARI: curia;pancuria;;pesolek, suka berdandan;;;
UTAMA;curiak;;sejenis burung;;;
UTAMA;da'u;;(BH) sejenis alat bunyian;;;
UTAMA;daai;;(BH) habis;;daai dah;habis sudah
UTAMA;daas;;(BK) numpang (tinggal);;;
TURUNAN DARI: daas;badaas;;menumpang, bermalam, tinggal, menumpang (sementara);;limbah rumah gusang badaas disini ai kami;sesudah rumah terbakar menumpang disini saja kami
UTAMA;dabar;;(BH) lembar;;kertas sadabar;kertas selembar
UTAMA;dabat;;(BH) debat;;;
TURUNAN DARI: dabat;badabat;;berdebat;;saban hari badabat jadi baraskah?;tiap hari berdebat menghasilkan beraskah?
UTAMA;dabau;;pukul;;kudabau lah ikam;kupukul kau
TURUNAN DARI: dabau;mandabau;;"memukul; berdebam (bunyi)";;;
UTAMA;dabik;;"dabik; tepuk (dada)";;;
TURUNAN DARI: dabik;badabik;;"berdabik; bertepuk";;wani banar badabik dada;berani sekali bertepuk dada
UTAMA;dabil;;"(BH) lembar (tanah); kapling (perwatasan)";;;
UTAMA;dabit;;depa;;sadabit;sedepa
UTAMA;dabu;;(BH) debu;;;
TURUNAN DARI: dabu;badabu;;"berdebu; asyik, enak sekali";;badabu makan dapatnya sambal awan taruk waluh;asyik makan karena sambel dengan pucuk waluh
UTAMA;dabuk;;(bunyi benda jatuh);;;
UTAMA;dabung;;"(BH) pukul; meratakan gigi dengan mengikir";;;
UTAMA;dabus;;(bunyi benda jatuh);;;
UTAMA;dabut;;yang paling jelek;;;
UTAMA;dacing;;timbangan ;;;
UTAMA;dada;;dada;;;
UTAMA;dadah;;;;;
TURUNAN DARI: dadah;badadah;;(mempercepat mengeluarkan air susu seorang ibu yang baru melahirkan dengan cara memijat belikat siibu);;;
TURUNAN DARI: dadah;mandadah;;(memijat untuk mengeluarkan air susu);;;
UTAMA;dadai;;bentang, gelar (pada tali atau galah dan sebagainya);;;
TURUNAN DARI: dadai;badadai;;berbentang, bergelar ;;tapihku tadi bedadai disini;sarungku tadi bergelar disini
TURUNAN DARI: dadai;mandadai;;membentang, menggelar;;mandadai tapasan;membentang cucian
TURUNAN DARI: dadai;dadaian I;;tempat membentang pakaian;;nukar kawar pakai baulah dadaian;membeli tali untuk membuat tempat membentang pakaian
TURUNAN DARI: dadai;dadaian II;;pakaian yang digelar;;;
UTAMA;dadak;;dedak;;;
UTAMA;dadalang;;dalang;;;
UTAMA;dadampar;;(papan atau kayu sebagai alas atau tempat memotong ikan, daging, sayuran dan sebagainya);;;
UTAMA;dadang;;;;;
TURUNAN DARI: dadang;badadang;;memanaskan badan (dekat api);;idupi api pakai badadang;hidupkan api untuk memanaskan badan 
TURUNAN DARI: dadang;mandadang;;memanaskan (diatas api);;;
UTAMA;dadap;;nama sejenis pohon;;;
UTAMA;dadar;;dadar;;;
TURUNAN DARI: dadar;dadar gulung;;nama kue;;;
TURUNAN DARI: dadar;dadar intalu;;dadar telur;;;
TURUNAN DARI: dadar;tadadar;;jatuh tertiarap;;;
UTAMA;dadas;;;;;
TURUNAN DARI: dadas;badadas;;bergegas;;lakasi aku handak badadas;cepat saya hendak bergegas
UTAMA;dadu;;dadu;;;
TURUNAN DARI: dadu;badadu;;bermain dadu;;;
UTAMA;dadung;;(BH) tali besar dan tebal;;;
UTAMA;dagang;;dagang;;;
TURUNAN DARI: dagang;badagang;;berdagang;;;
TURUNAN DARI: dagang;badagangan;;berjualan;;;
TURUNAN DARI: dagang;urang dagang;;pedagang, pengusaha;;urang dagang ni ngalih dipercaya;pedagang ini susah dipercaya
TURUNAN DARI: dagang;dagangan;;barang-barang jualan;;;
UTAMA;dagil;;(BH) degil;;;
UTAMA;daging;;daging;;;
UTAMA;dagu;;dagu;;;
UTAMA;dagui;;bunyi benda jatuh atau rebah;;;
UTAMA;dahai;;banyak habis;;dahai banihku dimakan tikus;banyak habis padiku dimakan tikus
UTAMA;dahak;;lendir yang keluar dari kerongkongan;;;
TURUNAN DARI: dahak;badahak;;mengeluarkan lendir dari kerongkongan, berdahak;;;
UTAMA;dahan;;dahan;;;
UTAMA;dahanu;;kadang-kadang;;dahanu ada dahanu kadada;kadang-kadang ada kadang-kadang tidak ada
UTAMA;dahar;;makan;;diaturi dahar;dipersilakan makan
UTAMA;dahara;;(BH);;;
TURUNAN DARI: dahara;badahara;;berencana, sengaja;;badahara aku kamari sakalinya kadida orangnya;berencana aku kemari ternyata gaada orangnya
UTAMA;dahi;;dahi;;;
TURUNAN DARI: dahi;urang badahi;;orang ternama (karna pangkat atau kaya);;;
UTAMA;dahulu;;dahulu, bedahulu;;;
TURUNAN DARI: dahulu;badahulu;;berdahulu, mendahului, lebih dahulu;;;
TURUNAN DARI: dahulu;badahuluan;;dahulu mendahului;;;
TURUNAN DARI: dahulu;mendahuluakan ;;mendahulukan;;;
TURUNAN DARI: dahulu;tadahulu;;terdahulu, lebih dahulu;;;
UTAMA;dahut;;(BH) tarik, sentak;;;
TURUNAN DARI: dahut;badahut;;dengan menarik;;;
UTAMA;daing;;panggilan terhadap orang bugis;;;
UTAMA;daini;;(BH) sekarang;;;
TURUNAN DARI: daini;dainian;;sekarang juga;;;
UTAMA;daintu;;(BH) begitu;;;
UTAMA;daip;;daif;;;
UTAMA;dajal;;dajal;;;
UTAMA;dakap;;(BH) dekap;;;
UTAMA;daki;;daki, kotoran (yang melekat pada tubuh);;;
UTAMA;daknal;;pendek gemuk, tidak berpotongan ;;;
UTAMA;daku;;;;;
TURUNAN DARI: daku;badaku;;bermain congkak;;;
TURUNAN DARI: daku;padakuan;;tempat permainan congkak;;;
UTAMA;daladak;;(kotoran air yang mengendap disuatu tempat), daki air;;;
TURUNAN DARI: daladak;badaladak;;berdaki air;;;
UTAMA;dalam;;dalam;;;
TURUNAN DARI: dalam;badalam;;bertambah dalam;;;
TURUNAN DARI: dalam;padalaman;;pedalaman;;;
UTAMA;dalang;;;;;
TURUNAN DARI: dalang;dadalang;;kidalang;;;
UTAMA;dalas;;biar;;;
TURUNAN DARI: dalas;dalasan ;;sampai, hingga;;;
UTAMA;dalih;;dalih, alasan;;;
UTAMA;dalima;;delima;;;
UTAMA;dalit;;;;;
TURUNAN DARI: dalit;dulang dalit;;plin plan, tak berpendirian ;;;
UTAMA;dam I;;;;;
TURUNAN DARI: dam I;damdaman;;damdaman (permainan dam);;;
TURUNAN DARI: dam I;badam;;permainan dam;;;
UTAMA;dam II;;dam, bendungan ;;;
UTAMA;dam III;;denda dalam agama islam;;;
UTAMA;damak;;damak, mata sumpitan, anak sumpitan;;;
UTAMA;damang;;demang, kepala adat suku dayak;;;
UTAMA;damar;;damar;;;
TURUNAN DARI: damar;dadamaran;;lampu-lampu yang dipasang dibulan puasa;;;
UTAMA;damarulan;;wayang orang;;;
UTAMA;damhati;;(BK) ;;;
TURUNAN DARI: damhati;damhatiku;;kukira, kusangka;;;
UTAMA;dami;;dami (serabut yang mengelilingi isi atau bijian buah nangka atau cempedak);;;
UTAMA;damia;;(BH) begini;;;
UTAMA;damini;;(BH) sekarang;;;
UTAMA;daminian;;sekarang ini juga;;daminian kah bulik;sekarang ini jugakan pulang
UTAMA;damintu;;begitu, demikian;;ya damintu bagawi;ya begitu bekerja
UTAMA;dampah;;(BH) tumpuk;;;
UTAMA;dampam;;muka lebar, sembab;;;
UTAMA;damping;;damping, dempet;;rumahnya badampingan aja lawan rumahku;rumahnya berdempetan saja dengan rumahku
TURUNAN DARI: damping;mandampit;;mendempet;;;
UTAMA;dampul;;dempul;;;
TURUNAN DARI: dampul;badampul;;berdempul;;;
UTAMA;dan;;dan;;;
UTAMA;dana;;dana;;;
UTAMA;danak;;(BH) gemuk pendek;;;
UTAMA;danau;;danau ;;;
UTAMA;dandam;;dendam;;inya dandam banar;dia dendam sekali
TURUNAN DARI: dandam;dandaman;;rindu;;rasa dandaman aku lawan anak ;rasa rindu saya kepada anak
UTAMA;dandan;;;;;
TURUNAN DARI: dandan;dandani;;usahai, ikhtiarkan, cari jalan;;dandani pang supaya taangkat;usahailah supaya terangkat
UTAMA;dandang;;;;;
TURUNAN DARI: dandang;badandang;;memanaskan diri di api;;;
TURUNAN DARI: dandang;dandangan ;;periuk besar;;;
UTAMA;danding;;(berdampingan setelah perkawinan, sanding);;;
UTAMA;dangani;;temani;;dangani aku;temani saya
TURUNAN DARI: dangani;danganiakan;;tolongi;;danganiakan inya;tolongi dia
TURUNAN DARI: dangani;badandangan ;;bertolong-tolongan;;;
UTAMA;dangar;;dengar;;;
TURUNAN DARI: dangar;badadangar;;nguping;;katuju banar badadangar;senang sekali nguping
UTAMA;dangas;;pemarah;;mun sudah garing lalu dangas aja;kalau sudah sakit lalu pemarah saja
TURUNAN DARI: dangas;dangasan;;suka marah-marah;;;
UTAMA;dangkak;;;;;
TURUNAN DARI: dangkak;badangkak;;mengangkang, duduk sembarangan;;;
UTAMA;dangki;;(BH) dengki;;;
UTAMA;dangkik;;(BH) Iih dengkek;;;
UTAMA;dangkung;;(BH) (persendian-persendian bengkak);;;
UTAMA;dangkur;;(BH) dengkur;;;
UTAMA;dangsa;;dansa;;;
TURUNAN DARI: dangsa;badangsa;;berdansa;;;
UTAMA;dangsai;;kumal;;;
UTAMA;dangsanak;;saudara;;;
UTAMA;dangsar;;;;;
TURUNAN DARI: dangsar;tadangsar;;tergelincir;;;
UTAMA;dangung;;(BH) denung;;;
UTAMA;dangur;;;;;
TURUNAN DARI: dangur;mandangur;;menyebar (untuk bau);;mandangur bau durian ;menyebar bau durian
UTAMA;danul;;(BH) bagian;;;
UTAMA;danur;;nanah;;;
UTAMA;danut;;(BH) basah;;;
UTAMA;dapa;;;;;
TURUNAN DARI: dapa;badapa;;(meluruskan tangan kekiri kekanan);;;
UTAMA;dapak;;Iih lapak;;;
UTAMA;dapang;;(BH) (ber) sandar rapat;;;
UTAMA;dapat;;dapat;;kada dapat;tidak dapat
TURUNAN DARI: dapat;badapat;;bertemu;;handak badapat ;hendak bertemu
TURUNAN DARI: dapat;mandapat;;mendapat;;;
TURUNAN DARI: dapat;tadapat;;bertemu, tertemukan;;tadapat  hantu;bertemu hantu
TURUNAN DARI: dapat;pandapat;;pendapat;;;
TURUNAN DARI: dapat;nasi padapatan;;Iih nasi;;;
UTAMA;dapung;;ikat;;sadapung bawang;seikat bawang
TURUNAN DARI: dapung;badapung;;berbuhul, dalam keadaan terikat;;;
TURUNAN DARI: dapung;mandapung;;mengikat, menyambung;;mandapung bawang, mandapung tali;mengikat bawang, menyambung tali
UTAMA;dapur;;tungku, perapian (tempat menghidupkan api);;;
UTAMA;dara;;perawan, gadis;;anak dara;anak perawan
TURUNAN DARI: dara;naik dara;;mendekati usia gadis;;sedang naik dara;sedang mendekati usia seorang gadis (masa puber pertama)
TURUNAN DARI: dara;hari dara;;(hari pesta khusus mempelai wanita dengan teman-teman gadisnya);;;
UTAMA;daradatan;;;;;
TURUNAN DARI: daradatan;badaradatan;;lamban sekali, penuh kesulitan;;bilang daradatan manuntungakan gawian ini;terlalu lamban sekali menyelesaikan perkerjaan ini
UTAMA;darah;;darah;;;
TURUNAN DARI: darah;badarah;;berdarah;;sanja badarah;senja berdarah
TURUNAN DARI: darah;badarahan;;berdarah;;;
TURUNAN DARI: darah;tadarah;;(BH) berdarah;;;
UTAMA;darai;;(BH) derai;;;
UTAMA;darajat;;derajat, tingkat;;;
UTAMA;darak;;;;;
TURUNAN DARI: darak;badarak;;beramai-ramai, berduyun-duyun;;;
UTAMA;daraman;;dingin tangan, selalu berhasil (dalam memelihara ternak);;;
UTAMA;darandan;;;;;
TURUNAN DARI: darandan;badarandanan;;Iih daradatan;;;
UTAMA;darap;;darap;;;
TURUNAN DARI: darap;mandarap;;memotong daun (dari pelepah jenis pohon palem);;;
TURUNAN DARI: darap;pandarap;;pemotong daun;;;
TURUNAN DARI: darap;pandarapan;;tempat mencari daun untuk dipotong;;;
UTAMA;daras I;;(BH) deras;;;
UTAMA;daras II;;;;;
TURUNAN DARI: daras II;badarasan;;tadarus (qur'an);;;
UTAMA;darat;;darat;;;
TURUNAN DARI: darat;kadarat;;menuju arah ke dalam dilihat dari pada dalam, ke sawah, ke kebun;;;
UTAMA;darau;;;;;
TURUNAN DARI: darau;badarau;;bersama-sama (bernyanyi, bersuara);;;
TURUNAN DARI: darau;tadarau;;(BH) terbahak, gelak;;;
TURUNAN DARI: darau;kukut darau;;memperoleh dalam jumlah yang banyak sekali;;;
UTAMA;dari;;;;;
TURUNAN DARI: dari;dari pada;;daripada;;;
UTAMA;darita;;(BH) derita;;;
TURUNAN DARI: darita;mandarita;;menderita;;;
UTAMA;daruduh;;(BH) ;;;
TURUNAN DARI: daruduh;tadaruduh;;terturun;;;
UTAMA;darudut;;;;;
TURUNAN DARI: darudut;dadarudut;;(bunyi) tertahan-tahan;;;
UTAMA;darudutan;;;;;
TURUNAN DARI: darudutan;badarudutan;;Iih daradatan;;;
UTAMA;daruk;;(BH) ;;;
TURUNAN DARI: daruk;tadaruk-daruk;;ikut terbawa-bawa;;;
UTAMA;darum;;(BH) derum;;;
UTAMA;darurat;;darurat;;;
UTAMA;darussalam;;darussalam (nama lembaga pendidikan islam);;;
UTAMA;dasak;;(BH) desak;;;
TURUNAN DARI: dasak;badasakan ;;tergesa-gesa;;kanapa jadi saraba badasakan kaya ini;mengapa jadi serba tergesa-gesa seperti ini
TURUNAN DARI: dasak;mandasak;;mendesak;;;
TURUNAN DARI: dasak;tadasak;;terdesak;;tadasak duit;terdesak uang
UTAMA;dasamuka;;(nama wayang) dasa muka;;;
UTAMA;dasar;;memang;;dasar bujur;memang benar
TURUNAN DARI: dasar;dasarnya;;memang demikian;;batisnya timpang tu dasarnya matan halus;kakinya pincang memang demikian sejak kecil
UTAMA;dasau;;;;;
TURUNAN DARI: dasau;mandasau;;menderu;;;
UTAMA;dasi;;dasi;;;
UTAMA;datang;;datang, tiba;;uma datang;ibu datang
TURUNAN DARI: datang;badatang;;melamar, meminang;;bila jar badatang;kapan katanya melamar
TURUNAN DARI: datang;mandatangi;;mendatangi, menjumpai;;aku mandatangi abah dahulu;saya menjumlai ayah dahulu
TURUNAN DARI: datang;datangan;;berdatangan;;tamu sudah datangan;tamu sudah berdatangan
TURUNAN DARI: datang;kadatangan;;datang haid, menstruasi;;;
TURUNAN DARI: datang;pandatang;;pendatang;;;
TURUNAN DARI: datang;sadatang-datang;;selalu datang;;jangan sadatang-datang kamari;jangan selalu datang ke mari
UTAMA;datar;;datar;;;
UTAMA;datik;;(BH) detik;;;
UTAMA;datu;;datuk;;nini datu;nenek datuk
UTAMA;dauh;;beduk, tabuh;;;
TURUNAN DARI: dauh;badauh;;memukul beduk, tanda besoknya permulaan puasa; ;;
UTAMA;dauk;;(warna) abu-abu;;;
UTAMA;daun;;daun;;;
UTAMA;daur;;kacau, tidak beres;;daur gawian;kacau pekerjaan
TURUNAN DARI: daur;badaur;;tambah kacau, (ambil bagian dalam kekacauan);;kanapa badaur pulang;kenapa tambah kacau lagi
UTAMA;dawa;;(BH) dakwa;;;
UTAMA;dawat;;tinta;;;
UTAMA;dawir;;(BH) ;;;
TURUNAN DARI: dawir;badawir;;bergantungan;;badawir tapih baju;bergabungan pakaian
UTAMA;dayang;;;;;
TURUNAN DARI: dayang;pandayangan;;sundal, pelacur;;;
UTAMA;dayung;;pendayung (alat untuk mendayung);;;
TURUNAN DARI: dayung;badayung;;berdayung;;;
UTAMA;debu;;debu;;;
UTAMA;dejal;;(BK) Iih dajal;;;
UTAMA;delap;;(BK) sifat suka meminta dengan setengah paksa;;ngalih lawan urang delap ni, kada tahu supan;sulit dengan orang delap ini, tak tahu malu
TURUNAN DARI: delap;badelap;;seperti orang delap, meminta dengan menahan rasa malu;;sakali ni badelap aja aku, pakai nang mangidam pang;kali ini berdelap saja saya, untuk yang ngidam nih
UTAMA;delek;;(BK) delik;;;
TURUNAN DARI: delek;mandelek;;mendelik;;mata sidin mandelek, lakasi bajauhan;mata beliau mendelik, cepat (semua) menjauh
UTAMA;dem;;(BK) senti meter;;asa bakandal muha unda dua dem ;rasa tambah tebal muka saya dua senti
TURUNAN DARI: dem;dem-deman;;pengukur, dari kain atau kayu dan sebagainya;;;
UTAMA;demak;;(BK) damak, mata sumpitan;;;
UTAMA;demang;;nama jabatan dalam pemerintahan raja Banjar;;;
UTAMA;dempet;;(BK) himpit;;;
TURUNAN DARI: dempet;badempet;;berhimpit;;;
TURUNAN DARI: dempet;mandempet;;menghimpit;;;
TURUNAN DARI: dempet;tadempet;;terhimpit, terjepit;;;
UTAMA;denda;;(BK) denda;;;
UTAMA;dendang;;dendang, senandung;;;
UTAMA;denes;;(BK) dinas;;inya lagi denes;dia sedang dinas
UTAMA;dengkek;;(BK) sikap tubuh, dada terbusung kemuka, pantat tertarik kebelakang;;;
TURUNAN DARI: dengkek;badengkek;;bersikap membusungkan dada dan menarik pantat kebelakang;;;
UTAMA;dengki;;dengki;;;
UTAMA;dengong;;(BK) dengung;;;
TURUNAN DARI: dengong;badengong;;berdengung;;talinga ulun badengong alamat apalah?;telinga saya berdengung firasat apa ya?
UTAMA;depa;;(BK) depa (ukuran) ;;sepuluh depa;sepuluh depa
TURUNAN DARI: depa;badepa;;berdepa (dengan membentangkan tangan kiri kanan) ;;;
UTAMA;deras;;(BK) deras;;;
UTAMA;derma;;(BK) derma;;;
UTAMA;derum;;(BK) derum;;;
UTAMA;des;;(BK) angkatan;;akuni des lawas jua;saya ini angkatan lama juga
TURUNAN DARI: des;bedes;;berbatas waktu;;jangan talalu lawas basambunyi kita harus bedes;jangan terlalu lama bersembunyi kita harus berbatas waktu
UTAMA;deser;;(BK) desir (bunyi sesuatu yang digoreng atau bunyi daun ditiup angin);;;
UTAMA;dewa;;dewa;;;
TURUNAN DARI: dewa;badewa;;upacara memanggil roh, dewa-dewa;;;
UTAMA;diam;;diam;;diam jangan bakuciak;diam jangan berteriak
TURUNAN DARI: diam;badiam;;;berdiam diri, bertempat tinggal;badiam di Banjar;bertempat tinggal di Banjarmasin
TURUNAN DARI: diam;badadiam;;diam-diam;;;
TURUNAN DARI: diam;mandiami;;mendiami;;;
TURUNAN DARI: diam;mandiamakan;;mendiamkan;;;
TURUNAN DARI: diam;tadiam;;terdiam;;tadiam inya;terdiam dia
UTAMA;gamat;;pelan;;inya gamat banar mun bajalan;ia pelan sekali kalau berjalan
TURUNAN DARI: gamat;bagamat;;pelan-pelan;;bagamat ja, jangan laju;pelan-pelan saja, jangan laju
TURUNAN DARI: gamat;bagamat;;makin pelan;;suaranya bagamat, pinanya inya kauyuhan sudah bapander; suaranya makin pelan, sepertinya ia sudah kelelahan berbicara
TURUNAN DARI: gamat;bagagamat;;pelan-pelan;;bajalan bagagamat, kada usah bukah;berjalan perlahan, tidak usah lari
TURUNAN DARI: gamat;bagamatan;;"perlahan-lahan; pelan-pelan";;inya bagamatan mambisai adingnya;ia pelan-pelan membujuk adiknya
TURUNAN DARI: gamat;manggamati;;"menjadikan pelan; memelankan";;inya manggamati suara radio nang kanyaringan;a memelankan suara radio yang terlalu nyaring
TURUNAN DARI: gamat;kagamatan;;terlalu pelan;;suara ikam kagamatan, kada tapi mandangar aku;suaramu terlalu pelan, aku kurang mendengar
TURUNAN DARI: gamat;panggamatnya;;paling pelan;;;
TURUNAN DARI: gamat;tagamat;;lebih pelan;;suara inya tagamat dibanding suara ikam;suara dia lebih pelan dibanding suara kamu
UTAMA;gambung;;buncit;;parut gambung kabanyakan makan;perut buncit kebanyakan makan
UTAMA;gampir;;dempet;;;
TURUNAN DARI: gampir;bagampir;;berdempet;;jukung bagampir di hujung lanting;perahu berdempet di ujung lanting
TURUNAN DARI: gampir;manggampir;;mendempetkan;;;
TURUNAN DARI: gampir;manggampirakan;;mendempetkan;;;
TURUNAN DARI: gampir;tagampir;;terdempet;;;
UTAMA;gana;;diam;;;
TURUNAN DARI: gana;bagana;;berdiam;;ikam bagana di rumah haja; kamu berdiam di rumah saja
TURUNAN DARI: gana;manganai;;"mendiami; menempati";;inya mangganai rumah amangnya;ia mendiami rumah pamannya
TURUNAN DARI: gana;tagana;;"terdiam; terhenti";;inya tagana kada kawa lalu lantaran hibak urang;ia terdiam tidak bisa lewat karena terlalu banyak orang
UTAMA;gandang;;gendang;;;
TURUNAN DARI: gandang;bagandang ;;v  bergendang  ;;;
TURUNAN DARI: gandang;bagandang nyiru   ;;memukul nyiru untuk mencari orang yang dipercaya disembunyikan makhluk gaib  ;;;
UTAMA;gang;;gang ;;;
TURUNAN DARI: gang;gangan;;"n  gangan; sayur:   ";;uma bamasak gangan waluh,;ibu memasak sayur labu  
TURUNAN DARI: gang;manggangan;;v   menyayur:  ;;inya manggangan keladi, ;ia menyayur keladi  
