TIPE;KATA;SUKU KATA;DEFINISI;KELAS KATA;CONTOH BANJAR;CONTOH INDO
TURUNAN DARI: belah;pecah belah;;piring mangkuk (perkakas makan dari bahan tembikar);;sidin tu banyak baisi pacah balah nang bahari-bahari ;beliau itu banyak punya piring mangkuk yang antik-antik
UTAMA;belang;;(BK) corak (pada kain), warna;;bagus belangnya kain ni;bagus coraknya kain ini
UTAMA;beleh;;(BK) akil balik (diukur) dengan datangnya haid atau tumbuhnya buah dada pada anak perempuan;;;
UTAMA;belek;;(BK) kaleng;;belek susu;kaleng susu
UTAMA;belok;;(BK) kepung;;;
UTAMA;belong;;(BK) bengkok (untuk parang, pisau dan sebagainya);;;
UTAMA;benang;;(BK) benang;;;
UTAMA;benet;;bayunet, sangkur;;;
UTAMA;bengkang;;(BK) pecah, retak;;;
UTAMA;bengkeng;;(BK) indah, bagus, cakap, gagah;;bengkengnya ai baju;aduh indahnya baju
UTAMA;bengkong;;(BK) biji pada buah-buahan;;handak mamilih bengkong langsat terpilih bengkong durian;hendak memilih biji duku mendapat biji durian (Kiasan, artinya ingin yang bagus akhirnya mendapat yang jelek)
UTAMA;benteh;;benteh;;;
TURUNAN DARI: benteh;babenteh;;berbenteh (sepak menyepak dengan betis ke betis lawan);;;
UTAMA;bereng;;taksir, kira;;;
TURUNAN DARI: bereng;mambereng;;menaksir, mengira jumlah atau harga;;mun aku mambereng kada sampai sa itu;kalau saya menaksir tidak sampai sekian 
UTAMA;berot;;benjot, miring sebelah;;;
UTAMA;beskop;;(BK) bioskop, filem;;manonton beskop;menonton bioskop
UTAMA;betam;;(BK) ;;;
TURUNAN DARI: betam;mambetan ;;merenggut, berdiam diri (dengan muka yang tegang);;mambetan kada sing bunyian;merengut tanpa suara
UTAMA;beteng;;(BK) beting;;;
UTAMA;biah;;Iih Bayah;;;
UTAMA;bial;;bintil (karena digigit binatang);;;
UTAMA;biang;;(BH) induk ayam;;;
UTAMA;biar;;biar;;biar inya badahulu;biar dia berdahulu
UTAMA;bias;;bias, sesat (dilaut);;;
TURUNAN DARI: bias;tabias;;terkandas, tersesat;;perahunya tabias ka pulau telo;perahunya terkandas ke pulau telo
UTAMA;biasa;;biasa;;;
UTAMA;biawak;;biawak;;;
UTAMA;biawan;;nama sejenis ikan;;;
UTAMA;bibal;;(BH) (kitab) bibel;;;
UTAMA;bibas;;(BH) bebas;;;
UTAMA;bibi;;panggilan kepada penjual rujak, bakul-bakul penjual sayuran ;;;
UTAMA;bibir;;bibir;;;
TURUNAN DARI: bibir;mambibir;;penuh hingga tepi atau bibir sesuatu tempat;;;
UTAMA;bibis;;(penyakit) maag;;;
TURUNAN DARI: bibis;babibis;;berpenyakit maag;;;
UTAMA;bibit;;(BH) ambil;;bibit ha wadai tu sauting;ambil saja kue itu sebuah
UTAMA;bica;;(BH) Iih beca;;;
UTAMA;bida;;(BH) beda ;;;
UTAMA;bida'ah;;pembohong, pendusta, bid'ah;;ikam ni bid'ah banar ;kau ini pembohong benar
UTAMA;bidadari;;bidadari;;;
UTAMA;bidai;;bidai, kerai;;;
UTAMA;bidak;;bidak, pion (dalam permainan catur);;;
UTAMA;bidan;;dukun beranak;;;
TURUNAN DARI: bidan;babidan;;dengan bidan, berbidan;;;
TURUNAN DARI: bidan;mambidani;;membidani;;;
UTAMA;bidang;;bidang;;;
TURUNAN DARI: bidang;bahu bidang;;pundak lebar;;;
UTAMA;bidara;;nama sejenis kayu yang pahit rasanya;;;
UTAMA;bidas;;ukuran, lingkaran dengan mempertemukan ibu jari dan telunjuk tangan kiri dengan ibu jari dan telunjuk tangan kanan;;;
UTAMA;bidawang;;bulus (hewan);;;
UTAMA;biding;;pinggir, tepi (dari suatu benda persegi);;;
UTAMA;bigas;;(BH) segar, sembuh;;pina bigas banar;kelihatannya segar sekali
UTAMA;bigi;;biji, butir;;bigi nangka, intalu dua bigi;biji nangka, telur dua butir
UTAMA;biha;;(BH) beha;;;
UTAMA;bila I;;bila, kapan;;bila ikam kada tahu, batakun;bila kau tidak tahu, bertanya
